Source.Name,web-scraper-order,web-scraper-start-url,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
cardekho_extract(0-2000).csv,1611916158-928,https://www.cardekho.com/used-car-details/used-Tata-Indigo-CS-eLX-BS-IV-cars-Raipur_A904E3C6F5F6112847EA3EF4D7D238E6.htm,Tata Indigo eLX BS IV,2.65 Lakh*,null,2014,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1396 CC,Max Power69.01 bhp,Seats5
cardekho_extract(0-2000).csv,1611918170-1818,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2011-2014-1.6-CRDI-cars-Guntur_5570DB6052BF1AA3306D45B427DE65D2.htm,Hyundai Verna 1.6 CRDI,5.2 Lakh*,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2014,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage22.32 kmpl,Engine1582 CC,Max Power126.3 bhp,Seats5
cardekho_extract(0-2000).csv,1611918037-1759,https://www.cardekho.com/used-car-details/used-Hyundai-Elite-i20-2014-2015-Asta-Option-1.4-CRDi-cars-Kadapa_20A4F4A1B8F59C69DAB5508FB4F6A815.htm,Hyundai i20 Asta Option 1.4 CRDi,7.5 Lakh*,New Car (On-Road Price) : Rs.9.59-12.83 Lakh*,2016,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Seats5
cardekho_extract(0-2000).csv,1611916817-1220,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2014-2017-VDI-cars-Buxar_EF462B52459D56FEEF02F172A5478003.htm,Maruti Swift Dzire VDI,5.6 Lakh*,null,2017,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
cardekho_extract(0-2000).csv,1611918359-1901,https://www.cardekho.com/used-car-details/used-Tata-Indica-Vista-TDI-LS-cars-Tirupati_02BF8F8BE6D704F302E5CDE8BA7F50AA.htm,Tata Vista TDI LS,2 Lakh*,null,2014,Individual,"1,90,000 kms",First Owner,Diesel,Manual,Mileage19.1 kmpl,Engine1405 CC,Max Power70 bhp,Seats5
cardekho_extract(0-2000).csv,1611918177-1821,https://www.cardekho.com/used-car-details/used-Hyundai-Xcent-1.2-CRDi-SX-cars-Eluru_FCD4590AF00488C697819A8B818AB2D9.htm,Hyundai Xcent 1.2 CRDi SX,6 Lakh*,null,2017,Individual,"40,000 kms",First Owner,Diesel,Manual,Mileage25.4 kmpl,Engine1186 CC,Max Power73.97 bhp,Seats5
cardekho_extract(0-2000).csv,1611915262-540,https://www.cardekho.com/used-car-details/used-Hyundai-Elite-i20-2017-2020-1.2-Spotz-cars-New-Delhi_1D5A182FDB754B7186E2E8B801E9D647.htm,Hyundai i20 1.2 Spotz,6.55 Lakh*,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2019,Dealer,"39,000 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Seats5
cardekho_extract(0-2000).csv,1611916621-1133,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-Xing-XE-cars-Patna_916FF85E219BEDB160566528A0B48B40.htm,Hyundai Santro Xing XE,1.25 Lakh*,null,2007,Dealer,"56,000 kms",First Owner,Petrol,Manual,Mileage17.8 kmpl,Engine1086 CC,Max Power63 bhp,Seats5
cardekho_extract(0-2000).csv,1611914900-384,https://www.cardekho.com/used-car-details/used-Toyota-Corolla-Altis-2010-2013-1.8-VL-AT-cars-New-Delhi_01695B1F01915F6CC3FFC9ECAA842C85.htm,Toyota Corolla Altis 1.8 VL AT,4.25 Lakh*,null,2009,Dealer,"58,000 kms",First Owner,Petrol,Automatic,Mileage14.53 kmpl,Engine1794 CC,Max Power138.1 bhp,Seats5
cardekho_extract(0-2000).csv,1611916171-934,https://www.cardekho.com/used-car-details/used-Maruti-Omni-E-MPI-STD-BSIV-cars-Raipur_A6B47F81F233EDBB1C1169436138D02B.htm,Maruti Omni E MPI STD BS IV,2.2 Lakh*,null,2017,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine796 CC,Max Power34.2 bhp,Seats8
