Source.Name,web-scraper-order,web-scraper-start-url,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
cardekho_extract(0-2000).csv,1611915487-636,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2011-2014-SX-CRDi-AT-cars-New-Delhi_03CEE230A80AD9C5876087FD46A5200F.htm,Hyundai Verna SX CRDi AT,3.8 Lakh*,null,2012,Dealer,"65,000 kms",First Owner,Diesel,Automatic,Mileage19.08 kmpl,Engine1582 CC,Max Power126.32 bhp,Seats5
cardekho_extract(0-2000).csv,1611916283-984,https://www.cardekho.com/used-car-details/used-Renault-KWID-2015-2019-1.0-RXT-Optional-cars-Raipur_2AAE49A62F91E24DA981001DFF2F2B3E.htm,Renault KWID 1.0 RXT Optional,3.3 Lakh*,New Car (On-Road Price) : Rs.3.97-6.48 Lakh*,2018,Individual,"22,000 kms",First Owner,Petrol,Manual,Mileage23.01 kmpl,Engine999 CC,Max Power67 bhp,Seats5
cardekho_extract(0-2000).csv,1611914823-350,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-Delta-cars-New-Delhi_4DAF15FB2CF71763A363D31C6711DA02.htm,Maruti Baleno Delta,6.5 Lakh*,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2018,Trustmark Dealer,"7,671 kms",First Owner,Petrol,Manual,Mileage21.01 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
cardekho_extract(0-2000).csv,1611914635-267,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-LXI-BS-IV-cars-New-Delhi_90EB4445661A620FED51B2DB17E574DD.htm,Maruti Wagon R LXI,3.25 Lakh*,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2016,Individual,"66,000 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
cardekho_extract(0-2000).csv,1611914879-375,https://www.cardekho.com/used-car-details/used-Maruti-Dzire-2017-2020-AMT-VXI-cars-Gurgaon_3EA006AECE16BD9C190307FE467BBA8D.htm,Maruti Swift Dzire AMT VXI,6.4 Lakh*,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,2018,Dealer,"45,156 kms",First Owner,Petrol,Automatic,Mileage21.21 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
cardekho_extract(0-2000).csv,1611916445-1056,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-SX-Opt-Turbo-BSIV-cars-Chandigarh_8C6E318578C61190CEAF46CB5AB7B9FE.htm,Hyundai Venue SX Opt Turbo BSIV,9.49 Lakh*,New Car (On-Road Price) : Rs.7.19-12.12 Lakh*,2019,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage18.27 kmpl,Engine998 CC,Max Power118.35 bhp,Seats5
cardekho_extract(0-2000).csv,1611918370-1905,https://www.cardekho.com/used-car-details/used-Nissan-Terrano-2013-2017-XL-Plus-85-PS-cars-Tirupati_0B5AE16C201485B8E41DBE13ED083564.htm,Nissan Terrano XL Plus 85 PS,7.5 Lakh*,null,2015,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage20.45 kmpl,Engine1461 CC,Max Power83.8 bhp,Seats5
cardekho_extract(0-2000).csv,1611918125-1798,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-2015-2016-1.6-CRDi-SX-cars-Srikakulam_BEC8AE657774E1AC2EF73599662D9750.htm,Hyundai Verna 1.6 CRDi SX,6.6 Lakh*,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2015,Individual,"1,20,000 kms",First Owner,Diesel,Manual,Mileage23.9 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
cardekho_extract(0-2000).csv,1611916954-1280,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2004-2011-VXi-BSIV-cars-Patna_8086E74201F609B94CCF927212AA0824.htm,Maruti Swift VXi BSIV,4.35 Lakh*,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,2014,Dealer,"28,000 kms",First Owner,Petrol,Manual,Mileage16.1 kmpl,Engine1197 CC,Max Power85 bhp,Seats5
cardekho_extract(0-2000).csv,1611915423-611,https://www.cardekho.com/used-car-details/used-Hyundai-i20-2012-2014-Sportz-1.4-CRDi-cars-New-Delhi_6F29ACE606AFA47935C2625EF474F150.htm,Hyundai i20 Sportz 1.4 CRDi,3.85 Lakh*,New Car (On-Road Price) : Rs.9.74-13.09 Lakh*,2013,Dealer,"55,000 kms",First Owner,Diesel,Manual,Mileage21.9 kmpl,Engine1396 CC,Max Power88.76 bhp,Seats5
