asset_identifier|tmsdate|tmsInLong|type|ltr
7ffe8fe1-ce8d-3ffa-8ece-072c3ba4709b|2020-07-26|1595756010000|DG|47.08
7ffe8fe1-ce8d-3ffa-8ece-072c3ba4709b|2020-07-26|1595756040000|DG|47.08
7ffe8fe1-ce8d-3ffa-8ece-072c3ba4709b|2020-07-26|1595756070000|DG|47.08
7ffe8fe1-ce8d-3ffa-8ece-072c3ba4709b|2020-07-26|1595756100000|DG|47.08
7ffe8fe1-ce8d-3ffa-8ece-072c3ba4709b|2020-07-26|1595756113000|DG|47.08
7ffe8fe1-ce8d-3ffa-8ece-072c3ba4709b|2020-07-26|1595756400000|DG|46.88
7ffe8fe1-ce8d-3ffa-8ece-072c3ba4709b|2020-07-26|1595757000000|DG|46.88
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324098148|DG|59.8
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324103344|DG|59.6
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324108440|DG|59.4
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324117122|DG|29.2
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324118666|DG|29
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324168892|DG|23.4
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324170601|DG|23.2
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324185558|DG|54.8
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324187609|DG|54.4
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324202112|DG|54
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324203799|DG|53.8
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324209903|DG|53.6
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324214897|DG|53.4
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324219815|DG|53.2
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324231715|DG|52.8
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324236588|DG|52.6
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324241621|DG|51.4
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324246711|DG|51.2
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324251777|DG|52.4
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324352790|DG|49
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324358364|DG|48.8
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324363241|DG|48.6
95248f89-1435-3a8d-bf4e-27364aae90e4|2020-05-24|1590324368289|DG|48.4
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086004399|DG|49.8
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086009466|DG|49.6
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086014454|DG|49.4
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086019469|DG|49.2
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086024440|DG|49
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086029418|DG|48.8
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086034503|DG|48.6
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086039498|DG|48.4
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086044448|DG|48.2
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086049523|DG|48
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086054437|DG|47.8
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086059522|DG|47.6
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086064516|DG|47.4
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086069471|DG|47.2
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086074518|DG|47
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086079487|DG|46.8
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086084539|DG|46.6
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086089560|DG|46.4
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086094509|DG|46.2
e0b3f487-f249-31e5-94d0-abd4389be623|2020-10-19|1603086099495|DG|46
