id,pow_date,pow_dateInLong,event
1,26-07-2020,1595755977000,ON
1,26-07-2020,1595756093000,OFF
2,19-10-2020,1603086004399,ON
2,19-10-2020,1603086412911,OFF
3,08-02-2021,1612779784964,ON
3,08-02-2021,1612782706207,OFF
4,07-04-2020,1586267287333,ON
4,07-04-2020,1586267464474,OFF
5,23-02-2021,1614092233072,ON
5,23-02-2021,1614093099706,OFF
5,23-02-2021,1614093110324,ON
6,03-02-2021,1612360551705,ON
7,29-07-2020,1596020621438,ON
7,29-07-2020,1596022384122,OFF
7,29-07-2020,1596023200108,ON
7,29-07-2020,1596023341333,OFF
8,21-07-2020,1595271412000,ON
8,21-07-2020,1595282340000,OFF
8,21-07-2020,1595290920000,ON













